iter	Passed	Remaining
704	8308	3476
705	8318	3464
706	8329	3451
707	8340	3439
708	8350	3427
709	8360	3415
710	8371	3402
711	8381	3390
712	8391	3377
713	8402	3365
714	8412	3353
715	8424	3341
716	8435	3329
717	8444	3316
718	8455	3304
719	8465	3292
720	8475	3279
721	8486	3267
722	8496	3255
723	8507	3243
724	8517	3230
725	8529	3219
726	8542	3207
727	8553	3195
728	8566	3184
729	8579	3173
730	8596	3163
731	8610	3152
732	8622	3140
733	8634	3129
734	8645	3116
735	8656	3105
736	8667	3092
737	8677	3080
738	8688	3068
739	8699	3056
740	8709	3044
741	8720	3032
742	8731	3020
743	8742	3008
744	8754	2996
745	8765	2984
746	8774	2971
747	8785	2959
748	8795	2947
749	8806	2935
750	8816	2923
751	8827	2911
752	8838	2899
753	8849	2887
754	8859	2875
755	8870	2863
756	8881	2851
757	8891	2838
758	8903	2826
759	8914	2815
760	8924	2802
761	8935	2790
762	8946	2778
763	8956	2766
764	8967	2754
765	8978	2742
766	8988	2730
767	8998	2718
768	9009	2706
769	9021	2694
770	9033	2683
771	9045	2671
772	9057	2659
773	9070	2648
774	9083	2637
775	9097	2626
776	9112	2615
777	9124	2603
778	9136	2591
779	9149	2580
780	9160	2568
781	9171	2556
782	9182	2544
783	9193	2532
784	9204	2520
785	9215	2509
786	9228	2497
787	9240	2486
788	9251	2474
789	9262	2462
790	9273	2450
791	9284	2438
792	9295	2426
793	9306	2414
794	9316	2402
795	9327	2390
796	9337	2378
797	9348	2366
798	9359	2354
799	9369	2342
800	9381	2330
801	9392	2318
802	9402	2306
803	9413	2294
804	9424	2282
805	9434	2270
806	9445	2259
807	9456	2247
808	9466	2235
809	9478	2223
810	9489	2211
811	9499	2199
812	9510	2187
813	9520	2175
814	9532	2163
815	9544	2152
816	9557	2140
817	9571	2129
818	9586	2118
819	9599	2107
820	9613	2095
821	9624	2084
822	9636	2072
823	9647	2060
824	9657	2048
825	9669	2036
826	9680	2025
827	9690	2013
828	9702	2001
829	9714	1989
830	9725	1977
831	9736	1966
832	9748	1954
833	9759	1942
834	9769	1930
835	9781	1918
836	9792	1906
837	9804	1895
838	9815	1883
839	9826	1871
840	9837	1859
841	9848	1848
842	9859	1836
843	9870	1824
844	9884	1813
845	9895	1801
846	9906	1789
847	9917	1777
848	9928	1765
849	9939	1753
850	9950	1742
851	9961	1730
852	9973	1718
853	9984	1706
854	9996	1695
855	10007	1683
856	10020	1672
857	10033	1660
858	10046	1649
859	10062	1638
860	10078	1627
861	10092	1615
862	10106	1604
863	10118	1592
864	10130	1581
865	10142	1569
866	10152	1557
867	10163	1545
868	10174	1533
869	10186	1522
870	10196	1510
871	10210	1498
872	10222	1487
873	10233	1475
874	10244	1463
875	10255	1451
876	10266	1439
877	10278	1428
878	10289	1416
879	10299	1404
880	10311	1392
881	10322	1381
882	10333	1369
883	10345	1357
884	10356	1345
885	10366	1333
886	10378	1322
887	10389	1310
888	10401	1298
889	10411	1286
890	10424	1275
891	10435	1263
892	10445	1251
893	10457	1239
894	10467	1228
895	10478	1216
896	10489	1204
897	10500	1192
898	10513	1181
899	10528	1169
900	10541	1158
901	10556	1146
902	10573	1135
903	10587	1124
904	10602	1112
905	10615	1101
906	10627	1089
907	10640	1078
908	10651	1066
909	10661	1054
910	10673	1042
911	10684	1030
912	10694	1019
913	10706	1007
914	10717	995
915	10728	983
916	10740	972
917	10753	960
918	10765	948
919	10775	936
920	10788	925
921	10799	913
922	10810	901
923	10821	890
924	10832	878
925	10843	866
926	10854	854
927	10866	843
928	10877	831
929	10888	819
930	10901	807
931	10912	796
932	10922	784
933	10934	772
934	10944	760
935	10955	749
936	10967	737
937	10978	725
938	10988	713
939	11000	702
940	11012	690
941	11025	678
942	11037	667
943	11051	655
944	11066	644
945	11082	632
946	11097	621
947	11110	609
948	11122	597
949	11134	586
950	11145	574
951	11157	562
952	11169	550
953	11182	539
954	11194	527
955	11206	515
956	11217	504
957	11229	492
958	11240	480
959	11251	468
960	11263	457
961	11275	445
962	11285	433
963	11297	421
964	11309	410
965	11319	398
966	11331	386
967	11342	374
968	11353	363
969	11364	351
970	11375	339
971	11385	327
972	11398	316
973	11409	304
974	11421	292
975	11431	281
976	11442	269
977	11453	257
978	11463	245
979	11474	234
980	11485	222
981	11498	210
982	11511	199
983	11523	187
984	11536	175
985	11550	164
986	11566	152
987	11580	140
988	11594	128
989	11607	117
990	11618	105
991	11629	93
992	11641	82
993	11652	70
994	11662	58
995	11673	46
996	11684	35
997	11694	23
998	11706	11
999	11719	0
